lat,lon,heading
48.21339894,20.73998593,3.470315226
48.21340378,20.73998763,3.678493726
48.21341274,20.73999099,3.863217998
48.21342119,20.73999463,3.664772572
48.21342834,20.73999791,3.027187778
48.21343519,20.74000108,2.868584969
48.21344224,20.74000406,2.343270141
48.21344992,20.7400071,0.831611956
48.21345775,20.74000919,359.8957594
48.21346577,20.74001115,0.313281448
48.21347364,20.74001351,1.15137369
48.21348207,20.74001593,1.335919955
48.21349049,20.74001852,0.810703484
48.21349896,20.74002086,0.178116894
48.2135072,20.7400231,359.9711155
48.2135154,20.74002541,0.529152592
48.21352366,20.74002805,0.555499611
48.21353194,20.74003035,359.5917326
48.21354018,20.74003247,358.3640981
48.21354835,20.74003398,357.4681206
48.2135563,20.74003541,357.7093647
48.21356419,20.74003697,358.410341
48.21357228,20.74003867,358.3664217
48.21358053,20.74003996,356.8055637
48.21358882,20.74004105,354.8797795
48.21359702,20.74004118,354.1400817
48.21360496,20.74004156,356.5412429
48.21361299,20.74004249,358.8032293
48.21362119,20.74004427,359.4965746
48.2136295,20.74004648,359.4462634
48.21363796,20.74004935,359.9780199
48.21364617,20.74005246,0.244926717
48.21365461,20.7400559,0.667008516
48.21366326,20.74005982,0.526560391
48.21367176,20.7400634,359.5002411
48.21368003,20.74006643,359.7841117
48.21368826,20.74006967,1.145498228
48.21369661,20.74007368,2.025472668
48.21370576,20.74007802,0.664109506
48.21371561,20.7400819,358.2834201
48.21372546,20.7400851,357.7335365
48.2137357,20.7400888,358.6816903
48.21374613,20.7400926,358.207591
48.21375708,20.7400958,356.2336802
48.21376795,20.74009815,355.4856482
48.21377867,20.74009978,354.9521123
48.21378966,20.74010036,354.3785094
48.2138001,20.74010032,354.482722
48.21381064,20.74010077,355.7620233
48.21382146,20.74010221,356.2595044
48.2138326,20.74010348,353.7045809
48.2138433,20.74010285,351.0446848
48.2138534,20.74010234,352.8743194
48.21386394,20.74010294,354.7104198
48.21387492,20.74010374,354.3793216
48.21388608,20.7401051,354.0682883
