lat,lon,heading
48.21694363,20.73651803,87.18099145
48.21694128,20.73655424,85.42122181
48.21693889,20.73660709,84.63568492
48.21693758,20.73664546,82.36165083
48.21693712,20.73668438,78.69916164
48.21693761,20.73672398,75.50732135
48.21693852,20.73676166,75.20318089
48.21693975,20.73680021,75.87370316
48.2169416,20.73683878,76.05496022
48.21694355,20.7368772,76.59841387
48.21694566,20.73691636,77.24717326
48.2169478,20.73695401,76.87032123
48.21694995,20.73699285,77.29600362
48.21695187,20.73703078,78.26006925
48.21695372,20.73706879,78.09791551
48.21695516,20.73710676,78.55669409
48.2169558,20.73714532,79.49382811
48.2169559,20.7371847,79.43314654
48.21695569,20.73722441,79.17964086
48.21695545,20.73726389,79.93198073
48.21695494,20.73730312,81.2260226
48.21695472,20.73734245,81.07147655
48.21695468,20.73738168,80.31982617
48.21695475,20.73742094,80.46164735
48.21695461,20.73746094,81.52590739
48.21695424,20.73750028,83.02227931
48.21695314,20.73754109,84.31262926
48.21695222,20.73758514,83.4783996
48.21695157,20.73763032,82.91470362
48.21695084,20.7376754,83.78977041
48.21694993,20.73772193,85.50889434
48.21694843,20.73776867,87.64228439
48.21694638,20.73781693,87.80058857
48.21694472,20.73786488,86.72701276
48.21694324,20.73791284,86.49103382
48.21694153,20.73796051,88.24553649
48.21693928,20.73800813,90.33251461
48.21693626,20.73805511,92.4131359
48.21693242,20.7381013,94.86915788
48.2169276,20.73814685,97.79184931
48.21692168,20.73819175,99.88874897
48.21691501,20.73823623,100.8310147
48.21690749,20.73828012,101.661586
48.21689913,20.7383231,104.354739
48.21688969,20.73836359,108.9961042
48.21687925,20.73840233,113.4893761
48.21686741,20.73844026,117.0647666
48.21685446,20.73847751,119.5296101
48.21684055,20.73851357,122.3750495
48.21682567,20.73854858,125.807789
48.21680936,20.73858351,129.2079687
48.2167923,20.73861647,132.0580955
48.21677476,20.73864766,133.7723908
48.21675579,20.73867938,134.014441
48.21673691,20.73870976,134.5455291
48.2167179,20.73873819,137.6419452
48.21669823,20.73876502,141.7374383
48.2166779,20.73879042,143.7278448
48.21665741,20.73881464,143.4278552
48.21663711,20.738839,143.6668392
48.21661678,20.73886084,145.0771456
48.21659626,20.73888137,145.6551506
48.21657575,20.73890155,144.0423646
48.21655547,20.73892158,143.2644431
48.21653542,20.73894007,144.6451259
48.21651524,20.73895808,145.5806888
48.21649436,20.73897723,144.619629
48.21647439,20.73899524,144.8601673
48.21645456,20.73901188,147.2301973
48.21643393,20.73902732,150.1041476
48.21641264,20.73904177,150.3106566
48.21639067,20.7390575,146.4066917
48.21636975,20.73907316,143.5468847
48.21634826,20.73908975,143.0455405
48.21632767,20.73910582,144.2090059
48.2163058,20.7391225,145.2119012
48.21628401,20.73913945,144.5404445
48.2162621,20.73915752,142.1263736
48.21624059,20.73917655,140.9899321
48.2162191,20.73919511,142.6022985
48.21619759,20.73921365,144.0742486
48.21617623,20.73923145,144.5057996
48.21615497,20.73924896,144.0491935
48.21613382,20.73926606,143.6193429
48.21611272,20.73928306,141.5589039
48.21609183,20.7393005,137.9611146
48.21607119,20.73931852,136.2337833
48.21605241,20.73933434,142.453771
48.21603396,20.73934742,157.6249521
48.21601764,20.73935669,176.3492208
48.21600151,20.73936267,194.3320582
48.21598555,20.7393669,199.3660494
48.21596797,20.73937002,193.3933449
48.21595019,20.73937345,181.3621231
48.21593227,20.73937813,168.7409613
48.21591471,20.73938417,161.1040873
48.21589726,20.73939058,157.573945
48.21587897,20.73939844,155.0465441
48.21585916,20.73940765,153.2842954
48.21583797,20.73941883,151.2620094
48.2158157,20.73943116,149.6040101
48.21579249,20.73944574,146.0571597
48.2157692,20.7394623,143.2588821
48.21574607,20.73947947,143.2607476
48.21572254,20.73949743,145.341656
48.21569908,20.73951525,147.0306202
48.21567523,20.73953373,146.8003663
48.21565169,20.73955186,147.4031291
48.21562738,20.73956979,148.8315259
48.21560233,20.73958822,149.4460449
48.21557713,20.73960593,151.2143491
48.21555231,20.73962209,153.5314993
48.21552623,20.73963779,154.3282809
48.21549955,20.73965299,153.9695417
48.21547257,20.73966797,153.717881
48.21544478,20.73968317,153.5638482
48.21541734,20.73969822,153.4660787
48.21538978,20.73971367,154.2185245
