lat,lon,heading
48.21496414,20.73990023,162.6569972
48.21493538,20.73990937,162.5106777
48.21490818,20.73991757,163.1412231
48.21488105,20.73992515,163.9962253
48.21485418,20.73993249,164.5159858
48.21482724,20.73993956,164.9132634
48.21480113,20.73994656,165.2433534
48.21477526,20.73995352,165.6934423
48.21474964,20.73996003,166.445976
48.21472423,20.73996595,167.9833803
48.21469882,20.73997102,168.9467587
48.21467338,20.73997601,168.877946
48.21464791,20.73998086,168.172331
48.21462254,20.73998519,168.3122972
48.21459721,20.73998909,167.8443004
48.21457198,20.73999297,166.6016215
48.21454636,20.73999717,165.8992867
48.21452127,20.74000121,165.4249448
48.21449687,20.74000522,165.5390168
48.21447186,20.74000934,166.1802496
48.21444726,20.74001304,167.177317
48.21442256,20.74001679,166.902676
48.21439783,20.74002053,165.994612
48.21437318,20.74002448,165.25802
48.21434865,20.74002821,166.0525859
48.21432409,20.74003186,166.7372902
48.21429943,20.74003533,167.0152593
48.21427468,20.74003868,167.1930953
48.21424996,20.7400419,167.5098067
48.21422513,20.74004523,167.4791542
48.21420012,20.74004879,167.1171837
48.21417456,20.7400523,167.6888146
48.21414988,20.74005537,168.7255082
48.21412407,20.7400586,169.3996974
48.2140992,20.74006155,169.5297289
48.2140738,20.74006425,170.2650497
48.21404803,20.74006626,172.3477315
48.21402276,20.74006731,174.0457255
48.21399732,20.74006819,174.5135267
48.21397242,20.74006877,175.1456207
48.21394666,20.74006867,177.2423347
48.21392141,20.74006813,179.218708
48.21389616,20.74006699,180.6027207
48.21387083,20.74006559,181.7705803
48.21384558,20.74006354,182.7088218
48.2138204,20.74006122,183.3285138
48.21379522,20.74005845,183.800417
48.21376992,20.74005541,184.1476219
48.21374449,20.74005224,183.8575061
48.21371898,20.74004904,183.4889197
48.21369355,20.7400456,183.1819543
48.21366819,20.74004215,182.5738471
48.21364259,20.74003857,179.5506361
48.21361665,20.74003616,172.3595753
48.21359041,20.7400355,163.9172832
48.21356559,20.74003645,159.3035029
48.21354183,20.74003772,159.1866161
48.21351825,20.74003834,166.2967722
48.21349641,20.74003727,179.5562742
